_id,code_value,code,code_list_name,code_name,create_or_change_date,is_popular,definition
65dc387e77514c3bbd3beaa3,52,HAC,Hotel Amenity Code,Ice machine,2003-06-01T00:00:00.000Z,false,
65dc387e77514c3bbd3beaa4,53,HAC,Hotel Amenity Code,Indoor parking,2003-06-01T00:00:00.000Z,false,
65dc387e77514c3bbd3beaa5,54,HAC,Hotel Amenity Code,Indoor pool,2003-06-01T00:00:00.000Z,false,
65dc387e77514c3bbd3beaa6,55,HAC,Hotel Amenity Code,Jacuzzi,2003-06-01T00:00:00.000Z,false,
65dc387e77514c3bbd3beaa7,56,HAC,Hotel Amenity Code,Jogging track,2003-06-01T00:00:00.000Z,false,
65dc387e77514c3bbd3beaa8,57,HAC,Hotel Amenity Code,Kennels,2003-06-01T00:00:00.000Z,false,
65dc387e77514c3bbd3beaa9,58,HAC,Hotel Amenity Code,Laundry/Valet service,2003-06-01T00:00:00.000Z,true,
65dc387e77514c3bbd3beaaa,59,HAC,Hotel Amenity Code,Liquor store,2003-06-01T00:00:00.000Z,false,
65dc387e77514c3bbd3beaab,60,HAC,Hotel Amenity Code,Live entertainment,2003-06-01T00:00:00.000Z,false,
65dc387e77514c3bbd3beaac,61,HAC,Hotel Amenity Code,Massage services,2003-06-01T00:00:00.000Z,false,
65dc387e77514c3bbd3beaad,62,HAC,Hotel Amenity Code,Nightclub,2003-06-01T00:00:00.000Z,false,
65dc387e77514c3bbd3beaae,63,HAC,Hotel Amenity Code,Off-Site parking,2003-06-01T00:00:00.000Z,false,
65dc387e77514c3bbd3beaaf,64,HAC,Hotel Amenity Code,On-Site parking,2003-06-01T00:00:00.000Z,false,
65dc387e77514c3bbd3beab0,65,HAC,Hotel Amenity Code,Outdoor parking,2003-06-01T00:00:00.000Z,false,
65dc387e77514c3bbd3beab1,66,HAC,Hotel Amenity Code,Outdoor pool,2003-06-01T00:00:00.000Z,true,
65dc387e77514c3bbd3beab2,67,HAC,Hotel Amenity Code,Package/Parcel services,2003-06-01T00:00:00.000Z,false,
65dc387e77514c3bbd3beab3,68,HAC,Hotel Amenity Code,Parking,2003-06-01T00:00:00.000Z,true,
65dc387e77514c3bbd3beab4,69,HAC,Hotel Amenity Code,Photocopy center,2003-06-01T00:00:00.000Z,false,
65dc387e77514c3bbd3beab5,70,HAC,Hotel Amenity Code,Playground,2003-06-01T00:00:00.000Z,false,
65dc387e77514c3bbd3beab6,71,HAC,Hotel Amenity Code,Pool,2003-06-01T00:00:00.000Z,false,
